,Company,Placed,Average CTC (LPA)
0,10xConstruction,1,15
1,Accenture AEH PPO,21,11.8
2,Adobe,2,45
3,American Express,5,22
4,Apple,8,
5,Aptiv,17,9.5
6,Arrise Solutions,15,12
7,BNY Mellon PPO,3,25
8,Bain Capability Networks,20,15.8
9,Bajaj Finserv,10,12
10,Baker Huges,4,10
11,Bharati Airtel,14,14.75
12,Blackrock ,13,18
13,Bluebird R&D,4,7
14,Bottomline,10,14
15,Canary AI PPO,1,12
16,Caterpillar,3,14.5
17,Caterpillar Hackathon,13,14.5
18,Char-IOT PPO,2,7
19,Chubb,26,11.6
20,Cisco PPO,4,24.7
21,Citi PPO,9,18
22,Cognizant NPN,8,4.5
23,Commvault,5,33
24,Couchbase,12,32
25,Dell,9,13.72
26,Dell PPO,11,14.45
27,Deloitte India,70,7.599999999999999
28,Deloitte USI,51,7.6
29,EY GDS,55,7.61
30,EY GDS PPO,7,7.6
31,Epsilon,6,12
32,Fastenal,2,17
33,Fidelity PPO,14,13
34,FischerJordan LLC,1,
35,Fractal Analytics ,8,7.5
36,Goldman Sachs,3,10.5
37,HPE,1,12
38,HPE CTY PPO,9,17.5
39,Honeywell,38,9
40,Human Resocia,5,24
41,IBM CIC,42,4.75
42,IBM PPO,2,12.5
43,IBM-RIL,1,24
44,IDFC,13,18.1
45,Incedo,24,7.55
46,Infosys HWI DSE,2,6.25
47,Infosys HWI SP,2,9.5
48,Intuit PPO,1,45
49,JP Morgan Internship,12,19.75
50,JP Morgan PPO,3,19.75
51,Jurin.ai,1,70
52,KLA Technologies PPO,3,25
53,KPMG,22,5.714285714285714
54,Kickdrum,1,15.73
55,Kinaxis,7,12
56,LSEG,3,12.5
57,MIQ,2,12
58,MUFG,12,20
59,Marvell PPO,7,27.16
60,Meesho,1,60
61,Microsoft PPO,6,55
62,Morgan Stanley PPO,2,25
63,Natwest,6,21
64,Nielsen,3,15
65,Nutanix,4,19
66,Okta,10,28
67,Optum ,12,19.2
68,Optum PPO,10,19.2
69,Oracle,14,21.5
70,PayPal PPO,9,34.5
71,PegaSystems Worldwide,4,14.5
72,PhonePe,2,33.5
73,Presidio ,3,10
74,ProcDNA,6,11.74
75,Prodapt ,63,6.666666666666667
76,Pwc ,30,9
77,Pwc PPO,1,9
78,QSC,6,10.3
79,Ring Central,2,28.1
80,Rystad Energy,5,10.9
81,SAP Labs,1,24.5
82,Sabre ,6,18.9
83,Samsung PPO,2,21.5
84,Sapiens,19,14.25
85,Saviynt,1,20
86,Schlumberger ,1,14
87,Schneider Electric,3,12
88,Shell,2,18
89,Shipsy,1,14
90,Siemens EDA Internship,6,20.5
91,Societe Generale,14,12.2
92,Solarwinds,1,17.5
93,Swiss Re,2,14
94,Tecdia PPO,2,14
95,Tekion,3,20
96,Toshiba,4,10.05
97,Tredence,7,12
98,Tresata,1,10
99,UBS ,9,14.5
100,UBS PPO,1,14.5
101,ValueCreed,5,10
102,Verity ,3,7.5
103,Verizon,20,9
104,Visa PPO,8,37
105,Viseton,13,7
106,Volvo,2,8
107,Walmart Internship,3,6
108,Walmart PPO,5,22.6
109,WatchGuard,2,10
110,Wells Fargo PPO,12,24
111,Western Digital PPO,1,20
112,WorkDay,10,23.1
113,Xflow Payments,1,30
114,ZS Associates ,14,13.6
115,ZS Associates PPO,8,13.65
116,Zluri,4,18
117,Zomato,1,56
118,Zynga,3,32
