,Company,Placed,Average CTC (LPA)
0,Accenture AEH PPO,2,11.8
1,American Express,1,22
2,Bain Capability Networks,4,15.8
3,Bajaj Finserv,1,12
4,Bharati Airtel,3,14.75
5,Blackrock ,1,18
6,Bottomline,3,14
7,Caterpillar Hackathon,1,14.5
8,Chubb,1,11.6
9,Citi PPO,2,18
10,Cognizant NPN,2,4.5
11,Couchbase,1,32
12,DE Shaw PPO,1,56
13,Dell,2,13.72
14,Deloitte India,7,7.6
15,Deloitte USI,6,7.6
16,EY GDS,4,7.61
17,EY GDS PPO,1,7.6
18,Epsilon,1,12
19,Fastenal,1,17
20,Fidelity PPO,1,13
21,Goldman Sachs,1,10.5
22,HPE CTY PPO,1,17.5
23,IBM CIC,3,4.75
24,IDFC,2,18.1
25,Incedo,1,7.55
26,KPMG,2,5.75
27,Kinaxis,1,12
28,MUFG,1,20
29,Microsoft PPO,1,55
30,Optum ,3,19.2
31,Oracle,2,33
32,Oracle PPO,1,19.2
33,PegaSystems Worldwide,1,14.5
34,PhonePe,2,33.5
35,Prodapt ,13,6.666666666666667
36,Pwc ,8,9
37,QSC,1,10.3
38,Qualcomm PPO,2,33
39,SAP Labs,1,24.5
40,Sapiens,2,14.25
41,Siemens EDA Internship,1,20.5
42,Societe Generale,1,12.2
43,Toshiba,1,10.05
44,Tredence,2,12
45,UBS ,3,14.5
46,Verizon,2,9
47,Visa PPO,3,33
48,Viseton,1,7
49,Wells Fargo PPO,2,24
50,WorkDay,2,23.1
51,Xeno,1,12
52,Xflow Payments,1,30
53,ZS Associates ,3,13.6
54,Zanskar,1,21
55,ZoomRx,1,8
56,Zynga,1,32
