Company,Month,Average_CTC_(LPA),BBS,BCB,BCE,BCI,BCT,BDS,BEC,BEE,BIT,BKT
10xConstruction,Oct-25,15.0,0,0,1,0,0,0,0,0,0,0
Ab InBev,Oct-25,17.5,0,0,0,0,0,0,0,0,0,0
Accenture AEH PPO,Jul-25,11.8,1,0,21,0,1,0,1,1,2,0
Adobe,Aug-25,45.0,0,0,2,1,0,0,0,0,0,0
Alstom,Sep-25,6.8,0,0,0,0,0,0,0,8,0,0
American Express,Aug-25,22.0,0,1,5,0,0,0,0,0,1,1
Apple,Sep-25,,0,0,8,0,0,0,0,0,0,0
Aptiv,Oct-25,9.5,0,0,17,0,0,0,1,0,0,0
Arrise Solutions,Sep-25,12.0,0,0,15,0,0,0,0,0,0,0
Arrise Solutions,Oct-25,12.0,0,0,15,0,0,0,0,0,0,0
BNY Mellon PPO,Aug-25,25.0,0,0,3,0,0,0,0,0,0,0
Bain Capability Networks,Aug-25,15.8,1,0,20,2,0,1,1,1,4,0
Bajaj Finserv,Sep-25,12.0,2,0,10,0,0,1,1,0,1,0
Baker Huges,Sep-25,10.0,0,0,4,0,0,0,0,0,0,0
Bharati Airtel,Oct-25,14.75,0,0,14,0,0,0,1,1,3,0
Blackrock ,Aug-25,18.0,0,1,13,0,1,0,1,0,1,0
Bluebird R&D,Oct-25,7.0,0,0,4,0,1,0,0,0,0,0
Bottomline,Aug-25,14.0,0,0,10,0,0,0,0,0,3,0
Canary AI PPO,Aug-25,12.0,0,0,1,0,0,1,0,0,0,0
Caterpillar,Oct-25,14.5,0,0,3,0,0,1,0,0,0,0
Caterpillar Hackathon,Sep-25,14.5,4,0,13,0,3,2,0,0,1,0
Char-IOT PPO,Aug-25,7.0,0,0,2,0,0,0,0,0,0,0
Chubb,Sep-25,11.6,0,0,26,2,1,1,0,0,1,0
Cisco,Sep-25,24.7,0,0,0,0,0,2,2,0,0,0
Cisco PPO,Aug-25,24.7,0,1,4,1,0,0,1,0,0,0
Citi PPO,Sep-25,18.0,2,0,9,1,0,1,1,0,2,0
Cognizant NPN,Oct-25,4.5,5,4,8,0,3,3,3,2,2,1
Commvault,Aug-25,33.0,0,0,5,0,0,1,0,0,0,0
Couchbase,Jul-25,32.0,0,0,12,1,2,0,0,0,1,0
DE Shaw PPO,Jul-25,56.0,0,0,0,0,0,0,0,0,1,0
Daimler India PPO,Aug-25,7.5,0,0,0,0,0,0,0,0,0,0
Dell,Aug-25,13.72,1,1,9,1,0,2,0,0,2,0
Dell PPO,Aug-25,14.45,0,0,11,0,0,0,0,0,0,0
Deloitte India,Oct-25,7.6,6,4,70,14,7,2,14,1,7,1
Deloitte India,Sep-25,7.6,6,4,70,14,7,2,14,1,7,1
Deloitte USI,Oct-25,7.6,3,1,51,2,4,6,4,2,6,0
Deloitte USI,Sep-25,7.6,3,1,51,2,4,6,4,2,6,0
EY GDS,Oct-25,7.61,0,0,55,1,4,13,0,0,4,3
EY GDS PPO,Sep-25,7.6,2,0,7,1,1,0,0,0,1,0
Ecolab,Oct-25,5.5,0,0,0,0,0,0,0,0,0,0
Elgi Equipment,Oct-25,8.5,0,0,0,0,0,0,0,2,0,0
Epsilon,Sep-25,12.0,0,0,6,0,0,1,0,0,1,0
ExxonMobil,Sep-25,13.49,0,0,0,0,0,0,0,3,0,0
Fastenal,Sep-25,17.0,0,0,2,0,0,0,0,0,1,0
Fidelity PPO,Jul-25,13.0,2,0,14,0,0,2,1,0,1,0
FischerJordan LLC,Oct-25,,0,0,1,0,0,0,0,0,0,0
Fractal Analytics ,Oct-25,7.5,0,0,8,0,0,1,1,0,0,0
Godrej PPO,Sep-25,12.0,0,0,0,0,0,0,0,0,0,0
Goldman Sachs,Sep-25,10.5,0,0,3,1,1,1,0,0,1,0
HPE,Oct-25,12.0,0,0,1,0,0,0,0,0,0,0
HPE CTY PPO,Aug-25,17.5,0,0,9,1,0,0,0,0,1,0
Honeywell,Oct-25,9.0,0,0,38,1,2,1,10,3,0,1
Honeywell,Sep-25,9.0,0,0,38,1,2,1,10,3,0,1
Human Resocia,Aug-25,24.0,0,0,5,0,0,0,0,0,0,0
IBM CIC,Oct-25,4.75,2,2,42,2,1,0,0,0,3,0
IBM PPO,Aug-25,12.5,1,0,2,0,0,0,0,0,0,0
IBM-RIL,Aug-25,24.0,0,0,1,0,0,0,0,0,0,0
IDFC,Aug-25,18.1,0,0,13,0,0,0,0,0,2,0
Incedo,Oct-25,7.55,0,0,24,0,0,0,0,0,1,0
Indigo PPO,Oct-25,,0,0,0,0,0,0,0,0,0,0
Infosys HWI DSE,Aug-25,6.25,0,1,2,0,0,0,0,0,0,0
Infosys HWI SP,Aug-25,9.5,0,0,2,0,0,0,0,0,0,0
Intuit PPO,Sep-25,45.0,0,0,1,0,0,0,0,0,0,0
JP Morgan Internship,Aug-25,19.75,1,0,12,1,1,1,1,0,0,0
JP Morgan PPO,Aug-25,19.75,0,0,3,0,0,0,0,0,0,0
Jindal PPO,Sep-25,21.0,0,0,0,0,0,0,0,11,0,0
John Deere PPO,Aug-25,11.1,0,0,0,0,0,1,0,0,0,0
Jurin.ai,Oct-25,70.0,0,0,1,0,0,0,0,0,0,0
KIRLOSKAR,Sep-25,8.37,0,0,0,0,0,0,0,2,0,0
KLA Technologies PPO,Jul-25,25.0,0,0,3,0,0,0,0,0,0,0
KPMG,Oct-25,5.833333333333330,0,2,22,1,0,5,3,1,2,0
KPMG,Sep-25,5.0,0,2,22,1,0,5,3,1,2,0
