,Company,Placed,Average CTC (LPA)
0,Accenture AEH PPO,1,11.8
1,Bain Capability Networks,1,15.8
2,Bajaj Finserv,2,12
3,Caterpillar Hackathon,4,14.5
4,Citi PPO,2,18
5,Cognizant NPN,5,4.5
6,Dell,1,13.72
7,Deloitte India,6,7.599999999999999
8,Deloitte USI,3,7.6
9,EY GDS PPO,2,7.6
10,Fidelity PPO,2,13
11,IBM CIC,2,4.75
12,IBM PPO,1,12.5
13,JP Morgan Internship,1,19.75
14,LSEG,1,12.5
15,Meesho,1,60
16,Optum ,1,19.2
17,Optum PPO,1,19.2
18,PegaSystems Worldwide,1,14.5
19,Presidio ,1,10
20,ProcDNA,1,11.74
21,Prodapt ,2,6
22,Pwc ,4,9
23,Ring Central,1,28.1
24,UBS ,1,14.5
25,Volvo,1,8
26,Wells Fargo PPO,2,24
27,ZS Associates ,4,13.6
28,Zynga,1,32
