,Company,Placed,Average CTC (LPA)
0,Adobe,1,45
1,Bain Capability Networks,2,15.8
2,Chubb,2,11.6
3,Cisco PPO,1,24.7
4,Citi PPO,1,18
5,Couchbase,1,32
6,Dell,1,13.72
7,Deloitte India,14,7.6
8,Deloitte USI,2,7.6
9,EY GDS,1,7.61
10,EY GDS PPO,1,7.6
11,Goldman Sachs,1,10.5
12,HPE CTY PPO,1,17.5
13,Honeywell,1,9
14,IBM CIC,2,4.75
15,JP Morgan Internship,1,19.75
16,KPMG,1,5.5
17,MUFG,1,20
18,Marvell PPO,1,27.16
19,Motorq PPO,1,100
20,Nutanix,1,19
21,Optiv Security PPO,2,10.6
22,Oracle,1,33
23,Oracle PPO,1,19.2
24,PayPal PPO,1,34.5
25,Prodapt ,6,6
26,Pwc ,2,9
27,Saviynt,1,20
28,Societe Generale,3,12.2
29,Solarwinds,1,17.5
30,UBS ,1,14.5
31,Verizon,1,9
32,Viseton,4,7
33,Wells Fargo PPO,4,24
34,ZS Associates ,1,13.6
