,Company,Placed,Average CTC (LPA)
0,Accenture AEH PPO,1,11.8
1,Blackrock ,1,18
2,Bluebird R&D,1,7
3,Caterpillar Hackathon,3,14.5
4,Chubb,1,11.6
5,Cognizant NPN,3,4.5
6,Couchbase,2,32
7,Deloitte India,7,7.599999999999999
8,Deloitte USI,4,7.6
9,EY GDS,4,7.61
10,EY GDS PPO,1,7.6
11,Goldman Sachs,1,10.5
12,Honeywell,2,9
13,IBM CIC,1,4.75
14,JP Morgan Internship,1,19.75
15,Kickdrum,1,15.73
16,Motorq PPO,1,100
17,Natwest,2,21
18,Nutanix,1,19
19,Okta,1,28
20,Optum ,1,19.2
21,Optum PPO,2,19.2
22,PegaSystems Worldwide,1,14.5
23,PhonePe,1,33.5
24,Prodapt ,5,6.666666666666667
25,Pwc ,2,9
26,Rystad Energy,1,10.9
27,SAP Labs,1,24.5
28,Samsung PPO,2,21.5
29,Sapiens,1,14.25
30,Schlumberger ,1,14
31,Siemens EDA Internship,1,20.5
32,Tresata,2,10
33,UBS ,1,14.5
34,Verizon,1,9
35,Western Digital ,1,15
36,ZS Associates ,1,13.6
