,Company,Placed,Average CTC (LPA)
0,Bain Capability Networks,1,15.8
1,Bajaj Finserv,1,12
2,Canary AI PPO,1,12
3,Caterpillar,1,14.5
4,Caterpillar Hackathon,2,14.5
5,Chubb,1,11.6
6,Cisco,2,24.7
7,Citi PPO,1,18
8,Cognizant NPN,3,4.5
9,Commvault,1,33
10,Dell,2,13.72
11,Deloitte India,2,7.6
12,Deloitte USI,6,7.6
13,EY GDS,13,7.61
14,Epsilon,1,12
15,Fidelity PPO,2,13
16,Fractal Analytics ,1,7.5
17,Goldman Sachs,1,10.5
18,Honeywell,1,9
19,JP Morgan Internship,1,19.75
20,John Deere PPO,1,11.1
21,KPMG,5,5.625
22,Marvell PPO,1,27.16
23,Nielsen,2,15
24,Nutanix,1,19
25,ProcDNA,1,11.74
26,Prodapt ,12,6.666666666666667
27,Pwc ,8,9
28,QSC,1,10.3
29,Rystad Energy,3,10.9
30,Saviynt,1,20
31,Siemens EDA Internship,2,20.5
32,Societe Generale,1,12.2
33,Solarwinds,1,17.5
34,Tredence,2,12
35,UBS ,1,14.5
36,UBS PPO,1,14.5
37,Verizon,2,9
38,Western Digital ,2,15
39,ZS Associates ,2,13.6
40,ZS Associates PPO,1,13.65
41,​Warner Bros. Discovery,1,17
